date,stock_1,factor_1,factor_2,factor_3
2017-06-30,-0.6538451,0.118685451569667,0.195143252472524,-0.0523887907736893
2017-07-31,-8.208948,-0.00778779656934293,-0.0710336487657297,0.094495828155971
2017-08-31,0.09012222,0.132189167783718,0.085711040265592,-0.0664842601110136
2017-09-29,-0.46750307,0.132189167783718,0.085711040265592,-0.0664842601110136
2017-10-31,-0.52687526,0.0152402945895031,0.0516097916177405,0.107699852402426
2017-11-30,0.7949114,0.0178551340840925,0.0388080235871678,0.0104205395064786
2017-12-29,-0.75387955,0.0178551340840925,0.0388080235871678,0.0104205395064786
2018-01-31,0.4004836,0.123442309238021,0.0906145300076493,0.0664206986417618
2018-02-28,-6.6052256,0.0579034542666301,-0.0604651260012958,-0.198581951159839
2018-03-30,0.0,0.0579034542666301,-0.0604651260012958,-0.198581951159839
2018-04-30,-1.2526155,0.0192113369002961,0.0500853732926608,-0.00442354578938205
2018-05-31,-1.4485955,-0.11864597555519,0.198999031986395,0.0539256724203631
2018-06-29,-3.441012,-0.11864597555519,0.198999031986395,0.0539256724203631
2018-07-31,1.644361,-0.0932523120076121,-0.0616266803975923,-0.0907085086293782
2018-08-31,-1.2420177,-0.137884529390498,-0.128545363195944,-0.00336627622621103
2018-09-28,0.28204918,-0.137884529390498,-0.128545363195944,-0.00336627622621103
2018-10-31,3.647995,0.299212486505325,0.187921104748151,-0.025202307772579
2018-11-30,-2.8770149,0.279493026463825,0.422630023175138,0.186252232922308
2018-12-31,0.40584803,-0.000391834476445269,-0.00301444201933025,0.000825439886762495
2019-01-31,6.133127,-0.0115292460745051,-0.049193252667027,-0.00186230603665644
2019-02-28,0.9078264,0.16659018003503,0.186213034768221,0.0883977692934361
2019-03-29,0.40876865,0.16659018003503,0.186213034768221,0.0883977692934361
2019-04-30,-2.3079336,-0.0308991796871029,-0.0995385846088651,-0.00889217820679887
2019-05-31,0.47917366,-0.0513777117612785,-0.366367951877093,0.14894279616285
2019-06-28,3.227985,-0.0513777117612785,-0.366367951877093,0.14894279616285
2019-07-31,-2.2888482,-0.0484181076765433,-0.485368232230938,0.0553774103153456
2019-08-30,-0.46880245,-0.0484181076765433,-0.485368232230938,0.0553774103153456
2019-09-30,-0.6343305,-0.143917262732961,-0.163972616111691,-0.0285199471188156
2019-10-31,0.16722679,0.157317269561127,0.371803980746318,0.018077646828672
2019-11-29,-0.5434811,0.157317269561127,0.371803980746318,0.018077646828672
2019-12-31,-0.061041117,-0.0117034199201656,-0.00171930206055273,-0.00892291233248711
2020-01-31,-2.2058845,-0.038074726038854,0.141643358098317,0.0235841927469492
2020-02-28,4.1751146,-0.038074726038854,0.141643358098317,0.0235841927469492
2020-03-31,-2.8485715,-0.668236049073322,-1.06672781976075,0.0144381185881473
2020-04-30,-9.340882,-0.229289891849062,-0.662324255033834,-0.0448640265744925
2020-05-29,-0.97883344,-0.229289891849062,-0.662324255033834,-0.0448640265744925
2020-06-30,-0.6123364,-0.457298113067772,0.0686673908184143,0.181951454672654
2020-07-31,-0.23640394,0.12634907102543,0.0755982195865782,-0.131372196846442
2020-08-31,-3.5409808,-0.0764088326993045,0.19355795834208,-0.0220840969483034
2020-09-30,0.091958046,0.0874014196982898,0.182162719300339,-0.0374563971600627
2020-10-30,2.558899,0.0874014196982898,0.182162719300339,-0.0374563971600627
2020-11-30,-2.0742357,0.345190328702005,0.400731884293968,0.118983792000996
2020-12-31,0.93928576,0.00354699750870343,-0.00293216564197629,0.00244629622007961
2021-01-29,0.975132,0.00354699750870343,-0.00293216564197629,0.00244629622007961
2021-02-26,3.3320308,0.00354699750870343,-0.00293216564197629,0.00244629622007961
2021-03-31,0.046038628,0.319360334452346,0.158555979650406,-0.00860948501042449
2021-04-30,-0.7641673,-0.0141444135776557,0.0799801678392221,-0.0854417946500079
2021-05-31,0.0,0.08121607870007,0.374877826903024,-0.168998495249264
2021-06-30,1.1206388,-0.0334174202567652,0.36115446226772,0.00720189323524087
2021-07-30,-3.8767397,-0.0334174202567652,0.36115446226772,0.00720189323524087
2021-08-31,3.5547614,0.0702465895818125,-0.00572612487871012,0.0396355297067441
2021-09-30,-0.15736222,-0.0479001108213813,0.473379753131245,-0.0622464161060765
2021-10-29,-3.5787702,-0.0479001108213813,0.473379753131245,-0.0622464161060765
2021-11-30,-5.3680363,-0.557621925286396,-0.049395785699625,-0.138328651855269
2021-12-31,-3.721881,0.317337629458865,0.304178858732936,-0.0218164100790556
2022-01-31,2.7992606,0.237052540900584,0.22614812982768,0.0247549199604168
2022-02-28,-0.6728053,0.117417396980408,-0.760718939189987,-0.040315715355965
2022-03-31,-3.0350208,0.199318905929005,-0.0590459343089162,0.11348438214591
2022-04-29,-1.0899246,0.199318905929005,-0.0590459343089162,0.11348438214591
2022-05-31,-1.6524494,-0.299035492714316,-0.0623397552007514,-0.233728911177936
